Eswatini	1					1		0.9		"March 17, 2020, 15:15 GMT"
Tanzania	1					1				"March 17, 2020, 15:15 GMT"
Togo	1					1		0.1		"March 17, 2020, 15:15 GMT"
Total:	"189,669"	"7,227"	"7,513"	366	"80,874"	"101,282"	"6,514"	24.3		"March 17, 2020, 15:15 GMT"
China	"80,894"	13	"3,237"	11	"69,614"	"8,043"	"2,622"	56		"March 18, 2020, 02:00 GMT"
Italy	"31,506"	"3,526"	"2,503"	345	"2,941"	"26,062"	"2,060"	521		"March 18, 2020, 02:00 GMT"
Iran	"16,169"	"1,178"	988	135	"5,389"	"9,792"		193		"March 18, 2020, 02:00 GMT"
Spain	"11,826"	"1,884"	533	191	"1,028"	"10,265"	563	253		"March 18, 2020, 02:00 GMT"
Germany	"9,367"	"2,095"	26	9	67	"9,274"	2	112		"March 18, 2020, 02:00 GMT"
S. Korea	"8,413"	177	84	9	"1,540"	"6,789"	59	164		"March 18, 2020, 02:00 GMT"
France	"7,730"	"1,097"	175	27	602	"6,953"	699	118		"March 18, 2020, 02:00 GMT"
USA	"6,486"	"1,823"	111	25	106	"6,269"	12	20		"March 18, 2020, 02:00 GMT"
Switzerland	"2,742"	389	27	8	15	"2,700"		317		"March 18, 2020, 02:00 GMT"
UK	"1,950"	407	71	16	65	"1,814"	20	29		"March 18, 2020, 02:00 GMT"
Netherlands	"1,705"	292	43	19	2	"1,660"	45	100		"March 18, 2020, 02:00 GMT"
Norway	"1,470"	122	3		1	"1,466"	27	271		"March 18, 2020, 02:00 GMT"
Austria	"1,332"	314	4	1	8	"1,320"	12	148		"March 18, 2020, 02:00 GMT"
Belgium	"1,243"	185	10		14	"1,219"	33	107		"March 18, 2020, 02:00 GMT"
Sweden	"1,196"	75	8	1	1	"1,187"	12	118		"March 18, 2020, 02:00 GMT"
Denmark	977	63	4		1	972	18	169		"March 18, 2020, 02:00 GMT"
Japan	878	45	29	1	144	705	41	7		"March 18, 2020, 02:00 GMT"
